number,name,status
Qualified Names for Modules,395,Withdrawn
Module Version Numbers,396,Rejected
Static metadata for Distutils,390,
Changing the version comparison module in Distutils,386,Superseded
Namespace Packages,382,Rejected
Mirroring infrastructure for PyPI,381,Withdrawn
Adding an Assignment Expression,379,Withdrawn
Allow __enter__() methods to skip the statement body,377,Rejected
Post import hooks,369,Withdrawn
Adding the pkg_resources module,365,Rejected
New Super,367,Superseded
Transitioning to the Py3K Standard Library,364,Withdrawn
Syntax For Dynamic Attribute Access,363,Rejected
Path - Object oriented filesystem paths,355,Rejected
The “make” Statement,359,Withdrawn
Enumerations in Python,354,Superseded
Allow str() to return unicode strings,349,Rejected
The freeze protocol,351,Rejected
Codetags,350,Rejected
Exception Reorganization for Python 3.0,348,Rejected
User Defined (”,346,Withdrawn
Metadata for Python Software Packages 1.2,345,
Design of the CPython Compiler,339,Withdrawn
Exception Chaining and Embedded Tracebacks,344,Superseded
Anonymous Block Statements,340,Rejected
Overloadable Boolean Operators,335,Rejected
Make None Callable,336,Rejected
Simple Coroutines via SuspendIteration,334,Withdrawn
Byte vectors and String/Unicode Unification,332,Rejected
Treating Builtins as Constants in the Standard Library,329,Rejected
Python Bytecode Verification,330,Rejected
A Case for Top and Bottom Values,326,Rejected
Resource-Release Support for Generators,325,Rejected
Python Synchronize/Asynchronize Block,319,Rejected
Date/Time Parsing and Formatting,321,Withdrawn
Eliminate Implicit Exception Instantiation,317,Rejected
Enhanced While Loop,315,Rejected
Metadata for Python Software Packages 1.1,314,
Adding Roman Numeral Literals to Python,313,Rejected
Reliable Acquisition/Release Pairs,310,Rejected
Controlling Generation of Bytecode Files,304,Withdrawn
How to Change Python’s Grammar,306,Withdrawn
Extend divmod() for Multiple Divisors,303,Rejected
Special __main__() function in modules,299,Rejected
Support for System Upgrades,297,Rejected
The Locked Buffer Interface,298,Withdrawn
Adding a bytes Object Type,296,Withdrawn
Interpretation of multiline string constants,295,Rejected
Type Names in the types Module,294,Rejected
Generators Attributes and Exceptions,288,Withdrawn
Integer for-loops,284,Rejected
Loop Counter Iteration with range and xrange,281,Rejected
Simple Iterator for ints,276,Rejected
Switching on Multiple Values,275,Rejected
Prefixing sys.path by command line option,271,Rejected
Extended HTTP functionality and WebDAV,268,Rejected
uniq method for list objects,270,Rejected
Optimizing Global Variable/Attribute Access,266,Withdrawn
Sorting Dictionaries by Value,265,Rejected
A Database of Installed Python Packages,262,Rejected
Omit printing newline after newline,259,Rejected
Docutils Design Specification,258,
Making Classes Look More Like Types,254,Rejected
Docstring Processing System Framework,256,
Object Adaptation,246,Rejected
Python Interface Syntax,245,Rejected
The ,244,Rejected
Module Repository Upload Mechanism,243,
Numeric Kinds,242,Rejected
Metadata for Python Software Packages,241,
Adding a Rational Literal to Python,240,Rejected
Adding a Rational Type to Python,239,Rejected
__findattr__(),231,Rejected
Attribute Docstrings,224,Rejected
Elementwise/Objectwise Operators,225,Rejected
Reworking Python’s Numeric Model,228,Withdrawn
"Coroutines, Generators, Continuations",220,Rejected
String Interpolation,215,Superseded
Docstring Format,216,Rejected
Loop Counter Iteration,212,Rejected
Decoupling the Interpreter Loop,210,Rejected
Multi-dimensional Arrays,209,Withdrawn
Adding A New Outer Product Operator,211,Rejected
Python Advanced Library,206,Withdrawn
Range Literals,204,Rejected
Collecting information about git,103,Withdrawn
Doing Python Micro Releases,102,Superseded
Feature Requests,42,Withdrawn
Sample Plaintext PEP Template,9,Withdrawn
Guidelines for Handling Bug Reports,3,Withdrawn
Statement local namespaces (aka “given” clause),3150,Deferred
"Overloading, Generic Functions, Interfaces, and Adaptation",3124,
Standard daemon process library,3143,Deferred
Disallow using macros as l-values,674,Deferred
Generator-sensitivity for Context Variables,568,Deferred
Defined semantics for locals(),558,
Running extension modules using the -m option,547,Deferred
Final Grammar for Literal String Interpolation,536,Deferred
Threaded garbage collection,556,Deferred
Rich comparison chaining,535,Deferred
Deterministic cleanup for iterators,533,
Improved Errors for Missing Standard Library Modules,534,Deferred
A circuit breaking protocol and binary operators,532,Deferred
None-aware operators,505,Deferred
General purpose string interpolation,501,Deferred
Add __getdescriptor__ method to metaclass,447,Deferred
The Wheel Binary Package Format 1.9,491,
Python Web3 Interface,444,
,499,
Naming conventions and recipes related to packaging,423,
Protecting cleanup statements from interruptions,419,Deferred
New release cycle and introducing long-term support versions,407,Deferred
General purpose decorator clause (aka “@in” clause),403,Deferred
Deprecate codecs.StreamReader and codecs.StreamWriter,400,Deferred
Standard image protocol and class,368,Deferred
Logging Usage in the Standard Library,337,Deferred
Copyable Iterators,323,Deferred
Simple Implicit Lambda,312,Deferred
Programming by Contract for Python,316,Deferred
Enhanced Argument Tuples,286,Deferred
Optimizing access to globals,280,Deferred
Pgen Module for Python,269,Deferred
Web Library Enhancements,222,Deferred
Optimized Access to Module Namespaces,267,Deferred
Python Online Help,233,Deferred
Stackless Python,219,Deferred
Attribute Access Handlers,213,Deferred
Python Governance Voting Process,8001,Final
Miscellaneous Python 3.0 Plans,3100,Final
Python Language Moratorium,3003,Final
Things that will Not Change in Python 3000,3099,Final
Procedure for Backwards-Incompatible Changes,3002,Final
Python 3000,3000,Final
Python Documentation Translations,545,Final
Package Index Name Retention,541,
Removing Un(der)used file types/extensions on PyPI,527,
Migrating from hg.python.org to GitHub,512,
Removal of the PyPI Mirror Authenticity API,464,
Python 3.6 Release Schedule,494,Final
Removing External Hosting Support on PyPI,470,
Removal of the PyPI Mirror Auto Discovery and Naming Scheme,449,
Python 3.5 Release Schedule,478,Final
Transitioning to release-file hosting on PyPI,438,
Python 3.4 Release Schedule,429,Final
Python 2.8 Un-release Schedule,404,Final
Python 3.3 Release Schedule,398,Final
Python 3.2 Release Schedule,392,Final
Migrating from Subversion to Mercurial,385,Final
Python 3.1 Release Schedule,375,Final
Python 2.7 Release Schedule,373,Final
Choosing a distributed VCS for the Python project,374,Final
Python 2.6 and 3.0 Release Schedule,361,Final
Externally Maintained Packages,360,Final
Python 2.4 Release Schedule,320,Final
Python 2.5 Release Schedule,356,Final
Migrating the Python CVS to Subversion,347,
Python 2.2 Release Schedule,251,Final
Python 2.3 Release Schedule,283,Final
Python 2.1 Release Schedule,226,Final
Python 2.0 Release Schedule,200,Final
Python 1.6 Release Schedule,160,Final
Asynchronous IO Support Rebooted: the “asyncio” Module,3156,
Qualified name for classes and functions,3155,Final
Pickle protocol version 4,3154,Final
Reworking the OS and IO exception hierarchy,3151,
futures - execute computations asynchronously,3148,Final
ABI version tagged .so files,3149,Final
PYC Repository Directories,3147,Final
A Type Hierarchy for Numbers,3141,Final
IP Address Manipulation Library for the Python Standard Library,3144,
String representation in Python 3000,3138,Final
Immutable Bytes and Mutable Buffer,3137,Final
New Super,3135,Final
Exception Chaining and Embedded Tracebacks,3134,Final
Extended Iterable Unpacking,3132,Final
Class Decorators,3129,Final
Supporting Non-ASCII Identifiers,3131,Final
Integer Literal Support and Syntax,3127,
Making PyObject_HEAD conform to standard C,3123,Final
Using UTF-8 as the default source encoding,3120,Final
Introducing Abstract Base Classes,3119,Final
Revising the buffer protocol,3118,Final
New I/O,3116,Final
Metaclasses in Python 3000,3115,Final
Simple input built-in in Python 3000,3111,Final
Bytes literals in Python 3000,3112,Final
Renaming iterator.next() to iterator.__next__(),3114,Final
Catching Exceptions in Python 3000,3110,Final
Removal of Tuple Parameter Unpacking,3113,Final
Raising Exceptions in Python 3000,3109,Final
Function Annotations,3107,Final
Standard Library Reorganization,3108,Final
"Revamping dict.keys(), .values() and .items()",3106,Final
Make print a function,3105,Final
Access to Names in Outer Scopes,3104,Final
Keyword-Only Arguments,3102,Final
Advanced String Formatting,3101,Final
Filter for tarfile.extractall,706,
Limited C API for Extending Opaque Types,697,
Include Fine Grained Error Locations in Tracebacks,657,
Unstable C API tier,689,
Format Specifier for Signed Zero,682,
Editable installs for pyproject.toml based builds (wheel based),660,
Convert macros to functions in the Python C API,670,Final
Platform Tag for Linux Distributions Using Musl,656,
Require OpenSSL 1.1.1 or newer,644,
Maintaining the Stable ABI,652,
Versioning PyPI’s Simple API,629,
Metadata for Package Source Distributions,643,
Add ,628,Final
Recording installed projects,627,
Precise line numbers for debugging and other tools.,626,
Remove wstr from Unicode,623,
Remove Py_UNICODE encoder APIs,624,Final
Storing project metadata in pyproject.toml,621,
Add Optional Length-Checking To zip,618,
String methods to remove prefixes and suffixes,616,
Relaxing Grammar Restrictions On Decorators,614,
Recording the Direct URL Origin of installed distributions,610,
Future ‘manylinux’ Platform Tags for Portable Linux Built Distributions,600,
Add optional EncodingWarning,597,Final
Adding “Yank” Support to the Simple API,592,
Removing dead batteries from the standard library,594,
Add Union Operators To dict,584,
Type Hinting Generics In Standard Collections,585,
Python Initialization Configuration,587,
Pickle protocol 5 with out-of-band data,574,
Module State Access from C Extension Methods,573,
Assignment Expressions,572,Final
Python Positional-Only Parameters,570,
Context Variables,567,Final
Show DeprecationWarning in __main__,565,Final
Metadata for Python Software Packages 2.1,566,
Add new time functions with nanosecond resolution,564,Final
Module __getattr__ and __dir__,562,Final
Distributing and Packaging Type Information,561,Final
Data Classes,557,Final
Built-in breakpoint(),553,Final
Deterministic pycs,552,Final
A New C-API for Thread-Local Storage in CPython,539,
Coercing the legacy C locale to a UTF-8 based locale,538,
Add a new UTF-8 Mode,540,
Asynchronous Comprehensions,530,
Change Windows filesystem encoding to UTF-8,529,Final
Change Windows console encoding to UTF-8,528,Final
Syntax for Variable Annotations,526,Final
Preserving Class Attribute Definition Order,520,Final
Asynchronous Generators,525,
Make os.urandom() blocking on Linux,524,Final
Adding a file system path protocol,519,Final
Adding a frame evaluation API to CPython,523,Final
Specifying Minimum Build System Requirements for Python Projects,518,
A build-system independent format for source trees,517,
Underscores in Numeric Literals,515,Final
Dependency specification for Python Software Packages,508,
Adding A Secrets Module To The Standard Library,506,Final
Simple Repository API,503,
Literal String Interpolation,498,Final
Local Time Disambiguation,495,
HTTPS verification migration tools for Python 2.7,493,
Multi-phase extension module initialization,489,
Coroutines with async and await syntax,492,
Elimination of PYO files,488,Final
Simpler customisation of class creation,487,Final
Make the Python Launcher aware of virtual environments,486,Final
A Function for testing approximate equality,485,Final
Type Hints,484,
Change StopIteration handling inside generators,479,Final
Backport ensurepip (PEP 453) to Python 2.7,477,
Enabling certificate verification by default for stdlib http clients,476,Final
Retry system calls failing with EINTR,475,
Preserving the order of **kwargs in a function.,468,
A dedicated infix operator for matrix multiplication,465,Final
Network Security Enhancements for Python 2.7.x,466,Final
Adding % formatting to bytes and bytearray,461,Final
Secure and interchangeable hash algorithm,456,
Add a new tracemalloc module to trace Python memory allocations,454,
Explicit bootstrapping of pip in Python installations,453,
Adding A Statistics Module To The Standard Library,450,Final
A ModuleSpec Type for the Import System,451,
Additional Unpacking Generalizations,448,
Make newly created file descriptors non-inheritable,446,Final
Add new APIs to customize Python memory allocators,445,
Single-dispatch generic functions,443,
Safe object finalization,442,
Improving Python ZIP Application Support,441,
Version Identification and Dependency Specification,440,
The Argument Clinic DSL,436,
Adding an Enum type to the Python standard library,435,Final
The Wheel Binary Package Format 1.0,427,
A method for exposing a length hint,424,Final
Compatibility Tags for Built Distributions,425,
Implicit Namespace Packages,420,Final
Adding sys.implementation,421,
Including mock in the Standard Library,417,Final
"Add monotonic time, performance counter, and process time functions",418,Final
Implement context suppression with exception attributes,415,
Explicit Unicode Literal for Python 3.3,414,Final
Key-Sharing Dictionary,412,Final
Suppressing exception context,409,Final
Python launcher for Windows,397,Final
Flexible String Representation,393,Final
Dictionary-Based Configuration For Logging,391,Final
Python Virtual Environments,405,
argparse - New Command Line Parsing Module,389,Final
Defining a Stable ABI,384,Final
Non-decodable Bytes in System Character Interfaces,383,Final
Syntax for Delegating to a Subgenerator,380,Final
Format Specifier for Thousands Separator,378,Final
Adding an ordered dictionary to collections,372,Final
Database of Installed Python Distributions,376,Final
Main module explicit relative imports,366,Final
Addition of the multiprocessing package to the standard library,371,Final
Per user site-packages directory,370,Final
Function Signature Object,362,Final
The “bytes” Object,358,Final
Allowing Any Object to be Used for Slicing,357,Final
Required Superclass for Exceptions,352,Final
Using ssize_t as the index type,353,Final
Coroutines via Enhanced Generators,342,Final
The “with” Statement,343,Final
Unifying try-except and try-finally,341,Final
Locale-Independent Float/String Conversions,331,Final
Executing modules as scripts,338,Final
Imports: Multi-Line and Absolute/Relative,328,Final
subprocess - New process module,324,Final
Reverse Iteration,322,Final
Decimal Data Type,327,Final
Decorators for Functions and Methods,318,Final
Simplified Global Interpreter Lock Acquisition for Extensions,311,Final
Partial Function Application,309,Final
Conditional Expressions,308,Final
Extensions to the pickle protocol,307,Final
CSV File API,305,
New Import Hooks,302,Final
Package Index and Metadata for Distutils,301,Final
Codec Error Handling Callbacks,293,Final
Simpler String Substitutions,292,Final
Generator Expressions,289,Final
Adding a bool type,285,Final
A Logging System,282,Final
The enumerate() built-in function,279,Final
Universal Newline Support,278,Final
Unicode file name support for Windows NT,277,Final
Dict Comprehensions,274,Final
Import Modules from Zip Archives,273,Final
Future statements in simulated shells,264,Final
Support for “wide” Unicode characters,261,Final
Defining Python Source Code Encodings,263,Final
Simplify xrange(),260,Final
Simple Generators,255,Final
Subtyping Built-in Types,253,Final
Making Types Look More Like Classes,252,Final
Using site-packages on Windows,250,Final
Changing the Division Operator,238,Final
Back to the __future__,236,Final
Unifying Long Integers and Integers,237,Final
Import on Case-Insensitive Platforms,235,Final
Iterators,234,Final
Warning Framework,230,Final
Function Attributes,232,Final
Using Distutils to Build Python,229,Final
Change the Meaning of ,223,Final
Statically Nested Scopes,227,Final
Adding a Built-In Set Object Type,218,Final
Import As,221,Final
Display Hook for Interactive Use,217,Final
Extended Print Statement,214,Final
Reworking the Coercion Model,208,Final
Rich Comparisons,207,Final
Weak References,205,Final
Augmented Assignments,203,Final
List Comprehensions,202,Final
Lockstep Iteration,201,Final
Python Unicode Integration,100,Final
Callable Modules,713,
Adding a “converter” parameter to dataclasses.field,712,
PyBI: a standard format for distributing Python Binaries,711,
Recording the provenance of installed packages,710,
Extending the Repository API to Mitigate Dependency Confusion Attacks,708,
TypedMapping: Type Hints for Mappings with a Fixed Set of Keys,705,
Marking deprecations using the type system,702,
Making the Global Interpreter Lock Optional in CPython,703,
Type defaults for TypeVarLikes,696,
Upload 2.0 API for Python Package Repositories,694,
Allow parentheses in assert statements,679,
Syntax for late-bound function argument defaults,671,
Consistent views of namespaces,667,Draft
Sentinel Values,661,
Specializing Adaptive Interpreter,659,Draft
Precise Semantics for Pattern Matching,653,Draft
Syntactic Macros,638,
Adding a frozenmap type to collections,603,
Improving License Clarity with Better Package Metadata,639,
GitHub Issues Migration Plan,588,
Multiple Interpreters in the Stdlib,554,
Surviving a Compromise of PyPI: End-to-end signing of packages,480,
Minor API improvements for binary sequences,467,Draft
Extension Module Initialization and Finalization,3121,Accepted
Inlined comprehensions,709,
Syntactic formalization of f-strings,701,
Additional Fields for the Simple API for Package Indexes,700,
Remove private dict version field added in PEP 509,699,
Override Decorator for Static Typing,698,
Type Parameter Syntax,695,
JSON-based Simple API for Python Package Indexes,691,
Using TypedDict for more precise **kwargs typing,692,
Isolating modules in the standard library,687,
Making the buffer protocol accessible in Python,688,
Comparison of extra names for optional distribution dependencies,685,
Make UTF-8 mode default,686,
A Per-Interpreter GIL,684,
Data Class Transforms,681,
"Immortal Objects, Using a Fixed Refcount",683,
tomllib: Support for Parsing TOML in the Standard Library,680,
Enriching Exceptions with Notes,678,
Arbitrary Literal String Type,675,
Self Type,673,
Low Impact Monitoring for CPython,669,
Marking Python base environments as “externally managed”,668,
Serve Distribution Metadata in the Simple Repository API,658,
Marking individual TypedDict items as required or potentially-missing,655,
Exception Groups and except*,654,Accepted
User-Defined Type Guards,647,
Variadic Generics,646,
Deferred Evaluation Of Annotations Using Descriptors,649,
Structural Pattern Matching: Specification,634,
Deprecate distutils module,632,
Filename of a Source Distribution,625,
New PEG parser for CPython,617,
Explicit Type Aliases,613,
Support for the IANA Time Zone Database in the Standard Library,615,
Parameter Specification Variables,612,
Allow writing union types as ,604,
Flexible function and variable annotations,593,
Adding a final qualifier to typing,591,
TypedDict: Type Hints for Dictionaries with a Fixed Set of Keys,589,
Vectorcall: a fast calling protocol for CPython,590,
Literal Types,586,
Python Runtime Audit Hooks,578,
Postponed Evaluation of Annotations,563,
Core support for typing module and generic types,560,Accepted
Protocols: Structural subtyping (static duck typing),544,
2023 Term Steering Council election,8104,
Secure PyPI downloads with signed repository metadata,458,
2022 Term Steering Council election,8103,
Python 3.9 Release Schedule,596,
Reducing CPython’s Feature Delivery Latency,607,
Annual Release Cycle for Python,602,
Refactoring C functions and methods,579,
Python 3.8 Release Schedule,569,Active
Python 3.7 Release Schedule,537,Active
Python registration in the Windows registry,514,
The Theory of Type Hints,483,
Literature Overview for Type Hints,482,
Notation For Positional-Only Parameters,457,
API for Cryptographic Hash Functions v2.0,452,Final
IDLE Enhancement Exception for All Branches,434,
Pure Python/C Accelerator Module Compatibility Requirements,399,Final
Migrating to Python 3 as the default online documentation,430,
Python Web Server Gateway Interface v1.0,333,
Backward Compatibility for the Python 2 Standard Library,291,Final
The “python” Command on Unix-Like Systems,394,Active
reStructuredText Docstring Format,287,
Code Migration and Modernization,290,Active
API for Block Encryption Algorithms v1.0,272,Final
Docstring Conventions,257,
Python Database API Specification v2.0,249,
Python Database API Specification v1.0,248,
API for Cryptographic Hash Functions,247,Final
Doing Python Releases 101,101,Active
Python Language Governance,13,Active
The Zen of Python,20,Active
PEP Infrastructure Process,676,
Python Packaging Authority (PyPA) Governance,609,
Using GitHub Issues for CPython,581,
Backwards Compatibility Policy,387,
Sample reStructuredText PEP Template,12,Active
Style Guide for Python Code,8,Active
CPython platform support,11,Active
Voting Guidelines,10,Active
Style Guide for C Code,7,Active
Guidelines for Language Evolution,5,Active
Bug Fix Releases,6,Active
Procedure for Adding New Modules,2,Active
Deprecation of Standard Modules,4,Active
name,number,status
PEP Purpose and Guidelines,1,Active
2021 Term Steering Council election,8102,
2022 Term Steering Council election,8103,
Postponed Evaluation of Annotations,563,
Python Runtime Audit Hooks,578,
Core support for typing module and generic types,560,Accepted
Protocols: Structural subtyping (static duck typing),544,
Secure PyPI downloads with signed repository metadata,458,
2023 Term Steering Council election,8104,
2020 Term Steering Council election,8101,
Literal Types,586,
January 2019 Steering Council election,8100,Final
Open Source Governance Survey,8002,Final
Python Language Governance Proposal Overview,8000,Final
The Steering Council Model,8016,Accepted
Python Web Server Gateway Interface v1.0.1,3333,
Organization of the Python community,8015,Rejected
The Commons Governance Model,8014,Rejected
The External Council Governance Model,8013,Rejected
Python Governance Model Lead by Trio of Pythonistas,8011,Rejected
The Technical Leader Governance Model,8010,Rejected
The Community Governance Model,8012,Rejected
Asynchronous IO support,3153,Superseded
Cofunctions,3152,Rejected
Merging Unladen Swallow into CPython,3146,Withdrawn
Cleaning out sys and the “interpreter” module,3139,Rejected
Asynchronous I/O For subprocess.Popen,3145,Withdrawn
Add a “while” clause to generator expressions,3142,Rejected
Introducing Roles,3133,Rejected
Labeled break and continue,3136,Rejected
"str(container) should call str(item), not repr(item)",3140,
Access to Current Module/Class/Function,3130,Rejected
Remove Implicit String Concatenation,3126,Rejected
BList: A Faster List-like Type,3128,
Remove Backslash Continuation,3125,Rejected
Postfix type declarations,3117,Rejected
Delineation of the main module,3122,Rejected
IEEE 754 Floating Point Special Values,754,Rejected
A simplified signature for __exit__ and __aexit__,707,
Procedure for reviewing and improving standard library modules,3001,Withdrawn
A Switch/Case Statement,3103,Rejected
Require virtual environments by default for package installers,704,
Lazy Imports,690,
A file format to list Python dependencies for reproducibility of an application,665,
"Standardizing Enum str(), repr(), and format() behaviors",663,
Reject Foolish Indentation,666,Rejected
Callable Type Syntax,677,
Editable installs via virtual wheels,662,
Robust Stack Overflow Handling,651,Rejected
Specifying Installer Requirements for Python Projects,650,
Extensible customizations of the interpreter at startup,648,
Allow writing optional types as ,645,
Using an underscore in the version portion of Python 3.10 compatibility tags,641,
Explicit Pattern Syntax for Structural Pattern Matching,642,
Unused variable syntax,640,Rejected
Dependency specification in pyproject.toml using an exploded TOML table,633,
Coordinated Python release,608,Rejected
The one million limit,611,Withdrawn
Hide implementation details from the C API,620,Withdrawn
Support for indexing with keyword arguments,637,
Dependency specification in pyproject.toml based on PEP 508,631,
Python Compatibility Version,606,Rejected
Structural Pattern Matching,622,
A rolling feature release stream for CPython,605,
Forbid return/break/continue breaking out of finally,601,
The manylinux2014 Platform Tag,599,
Augmented Assignment Expressions,577,Withdrawn
Python local packages directory,582,
Introducing incremental feature releases,598,
The C call protocol,580,
A Concurrency Memory Model for Python,583,Withdrawn
Improving bugs.python.org,595,
Rationalize Built-in function classes,576,
Unifying function/method classes,575,Withdrawn
Built-in noop(),559,Rejected
Context-local variables (contextvars),555,Withdrawn
The manylinux2010 Platform Tag,571,
Security transparency in the Python runtime,551,Withdrawn
Execution Context,550,Withdrawn
Instance Descriptors,549,
More Flexible Loop Control,548,Rejected
Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7,546,
Dot Notation Assignment In Function Header,542,Rejected
Existence checking operators,531,Withdrawn
A Unified TLS API for Python,543,Withdrawn
Managing global context via ‘with’ blocks in generators and coroutines,521,Withdrawn
Allow BlockingIOError in security sensitive APIs,522,Rejected
A Platform Tag for Portable Linux Built Distributions,513,
Build system abstraction for pip/conda etc,516,
API for code transformers,511,Rejected
Add a private version to dict,509,Superseded
Migrate CPython to Git and GitLab,507,Rejected
Specialize functions with guards,510,Rejected
Using the System RNG by default,504,Withdrawn
String Interpolation - Extended Discussion,502,Rejected
A protocol for delegating datetime methods to their tzinfo implementations,500,
A standard mechanism for backward compatibility,497,
Environment Markers,496,
Chain exceptions at C level,490,Rejected
"Migrate CPython to Git, Github, and Phabricator",481,Withdrawn
Creating forge.python.org,474,Withdrawn
Adding structured data to built-in exceptions,473,Rejected
Exception-catching expressions,463,Rejected
Migration of dict iteration code to Python 3,469,Withdrawn
Support for indexing with keyword arguments,472,
Add binary interpolation and formatting,460,Withdrawn
Standard Metadata Extensions for Python Software Packages,459,
Core development workflow automation for CPython,462,Withdrawn
Adding a key-transforming dictionary to collections,455,
Inclusion of implicit pip bootstrap in Python installation,439,
"A DSL for specifying signatures, annotations and argument converters",437,Rejected
Easier suppression of file descriptor inheritance,433,Superseded
Restructuring the CPython startup sequence,432,
Time zone support improvements,431,
Simpler customisation of class creation,422,Withdrawn
Add a frozendict builtin type,416,Rejected
Provisional packages in the Python standard library,411,Superseded
Faster evolution of the Python Standard Library,413,Withdrawn
Metadata for Python Software Packages 2.0,426,
Use decimal.Decimal type for timestamps,410,Rejected
Standard library __preview__ package,408,Rejected
Improved Encapsulation of Import State,406,Withdrawn
Simplified Package Layout and Partitioning,402,Rejected
BDFL Retirement,401,April Fool!
Qualified Names for Modules,395,Withdrawn
Static metadata for Distutils,390,
Changing the version comparison module in Distutils,386,Superseded
Module Version Numbers,396,Rejected
Namespace Packages,382,Rejected
Mirroring infrastructure for PyPI,381,Withdrawn
Adding an Assignment Expression,379,Withdrawn
Allow __enter__() methods to skip the statement body,377,Rejected
Post import hooks,369,Withdrawn
Adding the pkg_resources module,365,Rejected
New Super,367,Superseded
Transitioning to the Py3K Standard Library,364,Withdrawn
Syntax For Dynamic Attribute Access,363,Rejected
The “make” Statement,359,Withdrawn
Path - Object oriented filesystem paths,355,Rejected
The freeze protocol,351,Rejected
Allow str() to return unicode strings,349,Rejected
Enumerations in Python,354,Superseded
Codetags,350,Rejected
Exception Reorganization for Python 3.0,348,Rejected
User Defined (”,346,Withdrawn
Exception Chaining and Embedded Tracebacks,344,Superseded
Metadata for Python Software Packages 1.2,345,
Anonymous Block Statements,340,Rejected
Design of the CPython Compiler,339,Withdrawn
Make None Callable,336,Rejected
Overloadable Boolean Operators,335,Rejected
Simple Coroutines via SuspendIteration,334,Withdrawn
Byte vectors and String/Unicode Unification,332,Rejected
Treating Builtins as Constants in the Standard Library,329,Rejected
Python Bytecode Verification,330,Rejected
A Case for Top and Bottom Values,326,Rejected
Resource-Release Support for Generators,325,Rejected
Date/Time Parsing and Formatting,321,Withdrawn
Python Synchronize/Asynchronize Block,319,Rejected
Eliminate Implicit Exception Instantiation,317,Rejected
Metadata for Python Software Packages 1.1,314,
Enhanced While Loop,315,Rejected
Adding Roman Numeral Literals to Python,313,Rejected
Reliable Acquisition/Release Pairs,310,Rejected
How to Change Python’s Grammar,306,Withdrawn
Controlling Generation of Bytecode Files,304,Withdrawn
The Locked Buffer Interface,298,Withdrawn
Special __main__() function in modules,299,Rejected
Support for System Upgrades,297,Rejected
Extend divmod() for Multiple Divisors,303,Rejected
Adding a bytes Object Type,296,Withdrawn
Interpretation of multiline string constants,295,Rejected
Type Names in the types Module,294,Rejected
Generators Attributes and Exceptions,288,Withdrawn
Loop Counter Iteration with range and xrange,281,Rejected
Integer for-loops,284,Rejected
Simple Iterator for ints,276,Rejected
Switching on Multiple Values,275,Rejected
uniq method for list objects,270,Rejected
Prefixing sys.path by command line option,271,Rejected
Extended HTTP functionality and WebDAV,268,Rejected
Optimizing Global Variable/Attribute Access,266,Withdrawn
A Database of Installed Python Packages,262,Rejected
Sorting Dictionaries by Value,265,Rejected
Docutils Design Specification,258,
Docstring Processing System Framework,256,
Omit printing newline after newline,259,Rejected
Making Classes Look More Like Types,254,Rejected
Python Interface Syntax,245,Rejected
The ,244,Rejected
Object Adaptation,246,Rejected
Metadata for Python Software Packages,241,
Numeric Kinds,242,Rejected
Module Repository Upload Mechanism,243,
Adding a Rational Literal to Python,240,Rejected
Adding a Rational Type to Python,239,Rejected
Reworking Python’s Numeric Model,228,Withdrawn
__findattr__(),231,Rejected
Elementwise/Objectwise Operators,225,Rejected
Attribute Docstrings,224,Rejected
"Coroutines, Generators, Continuations",220,Rejected
Docstring Format,216,Rejected
Loop Counter Iteration,212,Rejected
String Interpolation,215,Superseded
Adding A New Outer Product Operator,211,Rejected
Decoupling the Interpreter Loop,210,Rejected
Multi-dimensional Arrays,209,Withdrawn
Python Advanced Library,206,Withdrawn
Range Literals,204,Rejected
Collecting information about git,103,Withdrawn
Doing Python Micro Releases,102,Superseded
Feature Requests,42,Withdrawn
Sample Plaintext PEP Template,9,Withdrawn
Statement local namespaces (aka “given” clause),3150,Deferred
Standard daemon process library,3143,Deferred
Guidelines for Handling Bug Reports,3,Withdrawn
"Overloading, Generic Functions, Interfaces, and Adaptation",3124,
Disallow using macros as l-values,674,Deferred
Running extension modules using the -m option,547,Deferred
Generator-sensitivity for Context Variables,568,Deferred
Threaded garbage collection,556,Deferred
Defined semantics for locals(),558,
Improved Errors for Missing Standard Library Modules,534,Deferred
Final Grammar for Literal String Interpolation,536,Deferred
Rich comparison chaining,535,Deferred
A circuit breaking protocol and binary operators,532,Deferred
Deterministic cleanup for iterators,533,
None-aware operators,505,Deferred
General purpose string interpolation,501,Deferred
The Wheel Binary Package Format 1.9,491,
,499,
Add __getdescriptor__ method to metaclass,447,Deferred
Naming conventions and recipes related to packaging,423,
Python Web3 Interface,444,
Protecting cleanup statements from interruptions,419,Deferred
Deprecate codecs.StreamReader and codecs.StreamWriter,400,Deferred
New release cycle and introducing long-term support versions,407,Deferred
General purpose decorator clause (aka “@in” clause),403,Deferred
Copyable Iterators,323,Deferred
Logging Usage in the Standard Library,337,Deferred
Standard image protocol and class,368,Deferred
Programming by Contract for Python,316,Deferred
Enhanced Argument Tuples,286,Deferred
Simple Implicit Lambda,312,Deferred
Optimizing access to globals,280,Deferred
Pgen Module for Python,269,Deferred
Optimized Access to Module Namespaces,267,Deferred
Python Online Help,233,Deferred
Attribute Access Handlers,213,Deferred
Web Library Enhancements,222,Deferred
Python Governance Voting Process,8001,Final
Stackless Python,219,Deferred
